#online:true
#name:UTF-8 Unicode 5.2,UTF-16LE Unicode 5.2,UTF-16BE Unicode 5.2
#id:utf-8@unicode5_2,utf-16le@unicode5_2,utf-16be@unicode5_2
#type:bin
#pattern:
#base:unicode5_1
#description:為美國跨國公司Unicode Consortium所提出的業界標準。並於2009年10月公布Unicode 5.2版本，新增擴展C集(Extension C)共4,149字，達74,394個漢字，適用於WindowsVista／7等以上作業系統。
12-5B26	2AE2D
12-5B29	2AE2F
12-5B31	2AE31
12-5B45	2AE30
12-5B46	2AE2E
12-5B5E	2AEC1
12-5B63	2AEBF
12-5B68	2AE9C
12-5B7E	2AEE0
12-5C25	2AEE1
12-5C28	2AEE4
12-5C36	2AF42
12-5C60	2AF8E
12-5C6C	2AFA9
12-5D26	2AFD9
12-5D28	2AFDC
12-5D2F	2AFDB
12-5D3A	2B00D
12-5D3E	2B018
12-5D41	2B00E
12-5D44	2B00B
12-5D4E	2B02E
12-5D50	2B02F
12-5D52	2B030
12-5D60	2B02D
12-5D64	2B04D
12-5D65	2B04C
12-5D69	2B062
12-5D76	2B078
12-5E21	2B07B
12-5E28	2B079
12-5E2A	2B0B8
12-5E35	2B0BA
12-5E39	2B0BB
12-5E3A	2B0BC
12-5E3B	2B0B9
12-5E3E	2B0E0
12-5E45	2B0DF
12-5E5B	2B144
12-5E66	2B152
12-5E67	2B164
12-5F2B	2B20A
12-5F2E	2B204
12-5F32	2B1FF
12-5F37	2B20D
12-5F38	2B200
12-5F51	2B201
12-5F54	2B20B
12-5F61	2B205
12-5F64	2B20C
12-5F7A	2B2AC
12-6021	2B2B2
12-6023	2B2AF
12-6024	2B2AD
12-602F	2B2F8
12-6031	2B2FA
12-6032	2B2FC
12-6033	2B31A
12-603D	2B334
12-6047	2B339
12-604C	2B392
12-604F	2B393
12-606E	2B3F3
12-6074	2B429
12-607B	2B426
12-6131	2B488
12-6137	2B487
12-613E	2B544
12-6141	2B545
12-6150	2B55E
13-2131	2A719
13-213D	2A724
13-2149	2A754
13-215C	2A756
13-215F	2A75E
13-2167	2A75B
13-2228	2A757
13-223E	2A7AA
13-2251	2A7CF
13-2268	2A85C
13-2278	2A81F
13-2326	2AF3A
13-2329	2A85F
13-233D	2A863
13-2347	2A860
13-234F	2A8F2
13-2361	2A8F9
13-236E	2A8FA
13-2371	2A8F5
13-237D	2A8F3
13-242E	2A8FB
13-243D	2A93C
13-2446	2A957
13-2456	2A98B
13-2465	2A989
13-246C	2A987
13-2476	2A98C
13-252F	2A9BF
13-2539	2A9D6
13-253C	2A9D8
13-2549	2A9D9
13-254B	2A9D4
13-255C	2AA15
13-2563	2AA43
13-2569	2AA42
13-2570	2AA45
13-2579	2A7B9
13-263B	2AA9B
13-263D	2AAB1
13-2647	2AAC1
13-265C	2AAD1
13-2727	2AB04
13-2738	2AB11
13-2757	2AB95
13-2767	2AB8E
13-2774	2AB91
13-2834	2ABE5
13-2837	2ABE7
13-2842	2ABFB
13-2845	2ABF9
13-284A	2AC2D
13-285D	2AC2A
13-2860	2AC2B
13-2868	2AC35
13-2930	2B1A4
13-2933	2B1A3
13-2949	2AC9F
13-2955	2ACA0
13-295E	2ACA4
13-296A	2ACAF
13-2977	2ACA7
13-2978	2ACAA
13-2A23	2ACA1
13-2A3C	2ACAB
